index,path,video_occurrences,audio_occurrences,workflow_format,api_workflow,ui_workflow,prompt,bytes,sha256,original_embedded_source_sha256,technical
17,media/final-sources/Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json,,workflows/final-sources/prompts/17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.txt,2228273,2dbd99de94da5714b40f61848a276ea739ff6175d565ea13fe18a9f74189f3a7,eb01d1a269a0025a387cce1dfec2aa8fa6cb3e79679263588c1c7d5ede44b4e6,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=9.417s
18,media/final-sources/Backlot_h3auto_s08_someone_please_t13_1280x704_00001_.mp4,4,2,api-only,workflows/final-sources/workflows/api/18-Backlot_h3auto_s08_someone_please_t13_1280x704_00001_.api.json,,workflows/final-sources/prompts/18-Backlot_h3auto_s08_someone_please_t13_1280x704_00001_.txt,2323146,68c7cdd5b1fc0d4a0ea8e2627c80806f4d5ff064df71a14bf4995d29c79d116d,ebdcc68cfecb8edc2a92334c5a9750518344ec1ff2650531e32451d010c3582b,video=h264 1280x704 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
19,media/final-sources/Backlot_h3auto_s09_boots_in_the_rain_pairBOOTS_t10_1056x608_00001_.mp4,3,3,api-only,workflows/final-sources/workflows/api/19-Backlot_h3auto_s09_boots_in_the_rain_pairBOOTS_t10_1056x608_00001_.api.json,,workflows/final-sources/prompts/19-Backlot_h3auto_s09_boots_in_the_rain_pairBOOTS_t10_1056x608_00001_.txt,1028948,b9a6aa93b6ff70492ac6a7034b255840ded83c78dd1e255140cd822bf3446d34,8f39a1dfd6d58d88aca85d2c93670a6baaec34c96c3592982ca23bf57a2439d2,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=5.167s
20,media/final-sources/Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json,,workflows/final-sources/prompts/20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.txt,959125,5ab5435e65cfb9e2f9410b7acce7306d6a1b9713a5ce480ecfc6db56c33aeea2,ed203c54c33bdcdd2f410d5b46ff8555aea7af18fa13f90cd9d8f650544f61a9,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
21,media/final-sources/Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.mp4,4,4,api-only,workflows/final-sources/workflows/api/21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json,,workflows/final-sources/prompts/21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.txt,870334,c7d69f1f48c84a0dd309591278f22d22de17bfa086743fdaa54c821d845bf01e,8c4e53afc99e9cd79d1fd5c99b13d451536715f6cfe3e25514832b05e9affbc2,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
22,media/final-sources/Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json,,workflows/final-sources/prompts/22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.txt,1574123,9d151c1f2c97aba1c548bf9c24ae4aebadbf9006afca47704073a4075abde4e0,cf66c11958d662003b36095dc4f40aaaad234afd5e0a30b3c9107dae34bf1f26,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
23,media/final-sources/Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t12_1056x608_00001_.mp4,2,2,api-only,workflows/final-sources/workflows/api/23-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t12_1056x608_00001_.api.json,,workflows/final-sources/prompts/23-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t12_1056x608_00001_.txt,420980,6adfac06e7437d361707420c34d7a36ea71c33575ca4909a00aa5b004148b5d2,971885792a868dd2a1b70dae109c35e541e7a8c5219c74566336bac927d31f70,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=3.042s
24,media/final-sources/Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/24-Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.api.json,,workflows/final-sources/prompts/24-Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.txt,581468,0b4f70277cadb492287aaf70e54cef68ce02aef67d44cc0b130aa2f7574091e4,de5305fe84797a9e541988850c42eb276103ff03c308da24aa9d312dfe2a84f3,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=4.458s
25,media/final-sources/Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.mp4,3,3,api-only,workflows/final-sources/workflows/api/25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.api.json,,workflows/final-sources/prompts/25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.txt,506356,ac553af9f5ad46b17cb1f2d34166887c2c773ee2204f4090b74422453d536c33,8919bd52c8d0626114c8efb712eedbec8da87a5fa7d4863c447105298c284a2d,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=4.458s
26,media/final-sources/Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.mp4,2,2,api-only,workflows/final-sources/workflows/api/26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.api.json,,workflows/final-sources/prompts/26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.txt,579453,9320066f562e8ce515fa55c6c1168d26d9341cd5906b3dddbb7b72bf6aa9c946,686278ce45244c527b41d9d2f32b9f2235c6b72af1e9415311efca31fa86925c,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=3.042s
27,media/final-sources/Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.mp4,2,1,api-only,workflows/final-sources/workflows/api/27-Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.api.json,,workflows/final-sources/prompts/27-Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.txt,1662353,25fde6f9302ab65801854a432b8ac395dfe2f93aa28aa95fe63b8bba3e4161f2,985f91f9fb5fa976757a9818585de24d1020a24dfd84cc421cf04070148440c0,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
28,media/final-sources/Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.mp4,2,2,api-only,workflows/final-sources/workflows/api/28-Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.api.json,,workflows/final-sources/prompts/28-Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.txt,1154338,020613f189df89752e7bdd9dd094b5990f6b4dce3edc0a25f3a7f8c034b3955c,dda4195474d5140bc22befab2bcaa28ae4362c78e908ff87c5f66295b09827aa,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
29,media/final-sources/Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.mp4,3,3,api-only,workflows/final-sources/workflows/api/29-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.api.json,,workflows/final-sources/prompts/29-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.txt,1764561,d7deb5f78e6b21aa77be0eeb40dd5575f164b8fa44dc3657c2246b82eff9147f,51955bbba47bf0b86063a31c48e8dac1627574795eb732045cbe54741414bc50,video=h264 960x544 fps=24/1; audio=aac 32000Hz ch=2; duration=9.417s
30,media/final-sources/MiniMax_H3_00046_.mp4,3,1,ui+api,workflows/final-sources/workflows/api/30-MiniMax_H3_00046_.api.json,workflows/final-sources/workflows/ui/30-MiniMax_H3_00046_.workflow.json,workflows/final-sources/prompts/30-MiniMax_H3_00046_.txt,1710079,3165ece74ff27d3dabd8749c259f34313d77007446c2cbf35562fbd20eacaed2,7acbd8841f13a62bc620f125fd07a1a9a29a784d1f4683bc2b94913567f1cef1,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
31,media/final-sources/MiniMax_H3_00054_.mp4,4,4,ui+api,workflows/final-sources/workflows/api/31-MiniMax_H3_00054_.api.json,workflows/final-sources/workflows/ui/31-MiniMax_H3_00054_.workflow.json,workflows/final-sources/prompts/31-MiniMax_H3_00054_.txt,2169422,afb68f6597eaa7ca0316e4f9fe846b1536209ee7b0a081125878696b9301062d,a22f66a123447184c04b927b7e549ba661ae127a5f6d2aed92ef0f9601b58823,video=h264 1280x736 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
