path,kind,bytes,sha256,direct_workflow_count,direct_workflows,provenance,technical
assets/comfyui-input/foley-stage-door-exterior-spatial-lock-v3-correct-handedness.png,image,1570688,c41b2fff5ab6542431b9bd93709e92ae362036f72dbd56d7081bf5e71510e9cc,3,20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json;21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json;25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/foley-stage-interior-master-v1.png,image,2333327,80b6127cde52a18b542ba1b0607a630a542b88ec3a62e3014d49ffd554dc4b11,9,06-ALPHA-T1_00060_.api.json;11-ALPHA-T1_00111_.api.json;12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json;17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json;23-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t12_1056x608_00001_.api.json;28-Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.api.json;31-MiniMax_H3_00054_.api.json,AI-generated or AI-restored project reference image,video=png 1679x937 fps=25/1
assets/comfyui-input/foley-stage-interior-reverse-entrance-v1-candidate.png,image,2016525,483b60056d4889a91010d338487209768ff2058f20136bfd3cb19a7b835690bb,1,26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/h3flag_b8c1a7e0_s02_openframe.png,image,2399446,6569109bfd0cad06fa2dc90fdda71eaaaa71c64f4addb8415ab3e40cb9388a9b,2,14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.api.json;15-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1625x941 fps=25/1
assets/comfyui-input/h3overnight_s07_openframe.png,image,2267767,5afa659fb10e0850c9e4fcde8e28abf7037413a1ba4f67554766882aef30d9d6,2,17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;29-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/h3overnight_s10b_openframe.png,image,2306927,5897c4f9ff0c6a60d147943a842998b1f55cc516f4e4654c925750cba0c63dac,1,22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/h3w4_actress_face_panel.png,image,3713626,fd2ad0b792c6628b0723b74fc29dbcfa3aca1c6dbb174e329c4564b5cc9663c8,2,03-ALPHA-T1_00042_.api.json;04-ALPHA-T1_00043_.api.json,AI-generated or AI-restored project reference image,video=png 1280x2160 fps=25/1
assets/comfyui-input/h3w4_actress_wardrobe_back_panel.png,image,3264814,174c2d47de54e307d4335d95cbd11607357c385ab9e04c60263657164393b062,2,03-ALPHA-T1_00042_.api.json;04-ALPHA-T1_00043_.api.json,AI-generated or AI-restored project reference image,video=png 1280x2160 fps=25/1
assets/comfyui-input/h3w4_actress_wardrobe_front_panel.png,image,2928072,5ce85d37adaaf1ded819dac374e2a999e99c61930e9cf989854d2656986d77e7,2,03-ALPHA-T1_00042_.api.json;04-ALPHA-T1_00043_.api.json,AI-generated or AI-restored project reference image,video=png 1280x2160 fps=25/1
assets/comfyui-input/heroine-s10a-i2v-t06-primary-anchor-v2.wav,audio,160078,cc255b462e60d098b53df9f523bbd5d0f0629aed4dad902ceb670dfb439b60e8,4,02-ALPHA-T1_00033_.api.json;07-ALPHA-T1_00079_.api.json;20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json;21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json,Voice anchor extracted from a project H3 native-audio take,audio=pcm_s16le 32000Hz ch=1; duration=2.500s
assets/comfyui-input/lead-actress-character-sheet.png,image,10791286,1891aa540dc6d3413f97147afb41846c589e21c6e3ed42cd6a08def8f123f7f0,13,02-ALPHA-T1_00033_.api.json;06-ALPHA-T1_00060_.api.json;07-ALPHA-T1_00079_.api.json;14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.api.json;15-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.api.json;18-Backlot_h3auto_s08_someone_please_t13_1280x704_00001_.api.json;20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json;21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json;24-Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.api.json;25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.api.json;26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.api.json;27-Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.api.json;30-MiniMax_H3_00046_.api.json,AI-generated or AI-restored project reference image,video=png 3840x2160 fps=25/1
assets/comfyui-input/magnific_add-the-character-in-img2_hu5FyGWvqL.png,image,1614810,85e9c81e8abe47f516ec0a34502be8cbbdebf940dcb69aa092c9490902337734,1,07-ALPHA-T1_00079_.api.json,AI-generated or AI-restored project reference image,video=png 1376x768 fps=25/1
assets/comfyui-input/magnific_retouch_xSO16pAjfW.png,image,10298689,a104251a61f424b1c35b483f6b7243d2e287c614a1edc69ebb791b0ca6aa6c19,1,02-ALPHA-T1_00033_.api.json,AI-generated or AI-restored project reference image,video=png 2752x1536 fps=25/1
assets/comfyui-input/magnific_turn-the-woman-that-is-be_EbxkJCvuuO.png,image,6788062,fb7f179591b4b868ee0ab2d5276cda3d6b9743d996af42ab604d4991fc836c10,1,07-ALPHA-T1_00079_.api.json,AI-generated or AI-restored project reference image,video=png 2752x1536 fps=25/1
assets/comfyui-input/MiniMax_H3_00047_.mp4,video,756311,66fb3f951103e81361788ee592de57dd726e80886262381f1fb3b6af17d8dba1,1,31-MiniMax_H3_00054_.api.json,"Project H3 video used as a motion, continuation, or audio reference",video=h264 608x352 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
